image,conditioning_image
Highlight/SHIQ_data_10825/train/05039_D.png,Highlight/SHIQ_data_10825/train/05039_A.png
Highlight/SHIQ_data_10825/train/03540_D.png,Highlight/SHIQ_data_10825/train/03540_A.png
Highlight/SHIQ_data_10825/train/06047_D.png,Highlight/SHIQ_data_10825/train/06047_A.png
Highlight/SHIQ_data_10825/train/09202_D.png,Highlight/SHIQ_data_10825/train/09202_A.png
Highlight/SHIQ_data_10825/train/01565_D.png,Highlight/SHIQ_data_10825/train/01565_A.png
Highlight/SHIQ_data_10825/train/00866_D.png,Highlight/SHIQ_data_10825/train/00866_A.png
Highlight/SHIQ_data_10825/train/08582_D.png,Highlight/SHIQ_data_10825/train/08582_A.png
Highlight/SHIQ_data_10825/train/05468_D.png,Highlight/SHIQ_data_10825/train/05468_A.png
Highlight/SHIQ_data_10825/train/03925_D.png,Highlight/SHIQ_data_10825/train/03925_A.png
Highlight/SHIQ_data_10825/train/00766_D.png,Highlight/SHIQ_data_10825/train/00766_A.png
Highlight/SHIQ_data_10825/train/07793_D.png,Highlight/SHIQ_data_10825/train/07793_A.png
Highlight/SHIQ_data_10825/train/06851_D.png,Highlight/SHIQ_data_10825/train/06851_A.png
Highlight/SHIQ_data_10825/train/06556_D.png,Highlight/SHIQ_data_10825/train/06556_A.png
Highlight/SHIQ_data_10825/train/02321_D.png,Highlight/SHIQ_data_10825/train/02321_A.png
Highlight/SHIQ_data_10825/train/00587_D.png,Highlight/SHIQ_data_10825/train/00587_A.png
Highlight/SHIQ_data_10825/train/07158_D.png,Highlight/SHIQ_data_10825/train/07158_A.png
Highlight/SHIQ_data_10825/train/01959_D.png,Highlight/SHIQ_data_10825/train/01959_A.png
Highlight/SHIQ_data_10825/train/07232_D.png,Highlight/SHIQ_data_10825/train/07232_A.png
Highlight/SHIQ_data_10825/train/08802_D.png,Highlight/SHIQ_data_10825/train/08802_A.png
Highlight/SHIQ_data_10825/train/00131_D.png,Highlight/SHIQ_data_10825/train/00131_A.png
Highlight/SHIQ_data_10825/train/07257_D.png,Highlight/SHIQ_data_10825/train/07257_A.png
Highlight/SHIQ_data_10825/train/01018_D.png,Highlight/SHIQ_data_10825/train/01018_A.png
Highlight/SHIQ_data_10825/train/00549_D.png,Highlight/SHIQ_data_10825/train/00549_A.png
Highlight/SHIQ_data_10825/train/08950_D.png,Highlight/SHIQ_data_10825/train/08950_A.png
Highlight/SHIQ_data_10825/train/07767_D.png,Highlight/SHIQ_data_10825/train/07767_A.png
Highlight/SHIQ_data_10825/train/00200_D.png,Highlight/SHIQ_data_10825/train/00200_A.png
